date,followers,followers_growth,username,channel,link_profile
2019-02-09,33188,9,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-10,33200,12,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-11,33214,14,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-12,33282,68,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-13,32364,-918,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-14,33451,1087,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-15,33568,117,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-16,33639,71,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-17,33715,76,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-18,33797,82,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-19,33898,101,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-20,34032,134,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-21,34216,184,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-22,34284,68,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-23,34404,120,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-24,34520,116,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-25,34597,77,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-26,34640,43,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-27,34689,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-02-28,34739,50,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-01,34797,58,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-02,34910,113,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-03,35062,152,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-04,35181,119,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-05,35199,18,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-06,35267,68,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-07,35322,55,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-08,35369,47,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-09,35402,33,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-10,35442,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-11,35494,52,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-12,35594,100,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-13,35664,70,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-14,35735,71,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-15,35809,74,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-16,35884,75,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-17,35959,75,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-18,36034,75,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-19,36109,75,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
